ORI,Name,UCR_OFFENSE,SUB_TOC,SUB_TOC_CODE,MONTH,COUNT,Type,Description,Sub_Description
AZ0072300,Phoenix,120,GUN,"11,12,13,14,15",7,96,Violent,Robbery,Firearm
AZ0072300,Phoenix,120,KNIFE,20,7,25,Violent,Robbery,Knife
AZ0072300,Phoenix,120,OTHER_DW,"30,35,50,55,60,65,70",7,41,Violent,Robbery,Other Dangerous Weapon
AZ0072300,Phoenix,120,STRONGARM,40,7,123,Violent,Robbery,"Strong-arm (hands ,fists, feet)"
AZ0072300,Phoenix,120,OTHER ,"85,90,95,99",7,0,Violent,Robbery,Other
AZ0072300,Phoenix,13A,,,7,848,Violent,Aggravated Assault,
AZ0072300,Phoenix,220,,,7,535,Property,Burglary/Breaking and Entering,
AZ0072300,Phoenix,23,,23A-23H,7,2942,Property,Theft,
AZ0072300,Phoenix,240,AUTO,3,7,431,Property,Motor Vehicle Theft,Auto
AZ0072300,Phoenix,240,TRUCK,"5,37",7,165,Property,Motor Vehicle Theft,Trucks and Buses
AZ0072300,Phoenix,240,OTHER,24,7,54,Property,Motor Vehicle Theft,Other Vehicles
AZ0072300,Phoenix,09A,,,8,22,Violent,Murder/Non-negligent Manslaughter,
AZ0072300,Phoenix,09B,,,8,0,Violent,Manslaughter by negliglence,
AZ0072300,Phoenix,11A,,11A-11C,8,100,Violent,Rape,
AZ0072300,Phoenix,120,GUN,"11,12,13,14,15",8,91,Violent,Robbery,Firearm
AZ0072300,Phoenix,120,KNIFE,20,8,42,Violent,Robbery,Knife
AZ0072300,Phoenix,120,OTHER_DW,"30,35,50,55,60,65,70",8,38,Violent,Robbery,Other Dangerous Weapon
AZ0072300,Phoenix,120,STRONGARM,40,8,111,Violent,Robbery,"Strong-arm (hands ,fists, feet)"
AZ0072300,Phoenix,120,OTHER ,"85,90,95,99",8,0,Violent,Robbery,Other
AZ0072300,Phoenix,13A,,,8,787,Violent,Aggravated Assault,
AZ0072300,Phoenix,220,,,8,584,Property,Burglary/Breaking and Entering,
AZ0072300,Phoenix,23,,23A-23H,8,3104,Property,Theft,
AZ0072300,Phoenix,240,AUTO,3,8,436,Property,Motor Vehicle Theft,Auto
AZ0072300,Phoenix,240,TRUCK,"5,37",8,197,Property,Motor Vehicle Theft,Trucks and Buses
AZ0072300,Phoenix,240,OTHER,24,8,54,Property,Motor Vehicle Theft,Other Vehicles
AZ0072300,Phoenix,09A,,,9,14,Violent,Murder/Non-negligent Manslaughter,
AZ0072300,Phoenix,09B,,,9,0,Violent,Manslaughter by negliglence,
AZ0072300,Phoenix,11A,,11A-11C,9,98,Violent,Rape,
AZ0072300,Phoenix,120,GUN,"11,12,13,14,15",9,81,Violent,Robbery,Firearm
AZ0072300,Phoenix,120,KNIFE,20,9,41,Violent,Robbery,Knife
AZ0072300,Phoenix,120,OTHER_DW,"30,35,50,55,60,65,70",9,23,Violent,Robbery,Other Dangerous Weapon
AZ0072300,Phoenix,120,STRONGARM,40,9,116,Violent,Robbery,"Strong-arm (hands ,fists, feet)"
AZ0072300,Phoenix,120,OTHER ,"85,90,95,99",9,0,Violent,Robbery,Other
AZ0072300,Phoenix,13A,,,9,691,Violent,Aggravated Assault,
AZ0072300,Phoenix,220,,,9,520,Property,Burglary/Breaking and Entering,
AZ0072300,Phoenix,23,,23A-23H,9,3169,Property,Theft,
AZ0072300,Phoenix,240,AUTO,3,9,482,Property,Motor Vehicle Theft,Auto
AZ0072300,Phoenix,240,TRUCK,"5,37",9,194,Property,Motor Vehicle Theft,Trucks and Buses
AZ0072300,Phoenix,240,OTHER,24,9,69,Property,Motor Vehicle Theft,Other Vehicles
AZ0072300,Phoenix,09A,,,10,18,Violent,Murder/Non-negligent Manslaughter,
AZ0072300,Phoenix,09B,,,10,0,Violent,Manslaughter by negliglence,
AZ0072300,Phoenix,11A,,11A-11C,10,101,Violent,Rape,
AZ0072300,Phoenix,120,GUN,"11,12,13,14,15",10,93,Violent,Robbery,Firearm
AZ0072300,Phoenix,120,KNIFE,20,10,40,Violent,Robbery,Knife
